,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6,-73.97,39.99,68,82,3.0,US,1609200607
1,faanui,-16.48,-151.75,80.92,69,10,7.61,PF,1609200836
2,odessa,46.48,30.73,46.4,100,90,15.66,UA,1609200836
3,college,64.86,-147.8,12.2,78,75,3.36,US,1609200837
4,busselton,-33.65,115.33,72.0,52,80,3.0,AU,1609200837
5,rio grande,-32.03,-52.1,72.0,82,6,11.9,BR,1609200679
6,shagonar,51.53,92.8,-26.75,82,89,3.65,RU,1609200837
7,cape town,-33.93,18.42,66.0,77,20,10.29,ZA,1609200601
8,qaanaaq,77.48,-69.36,22.69,89,100,10.13,GL,1609200823
9,hermanus,-34.42,19.23,64.99,82,69,2.1,ZA,1609200837
10,erenhot,43.65,111.98,-20.18,82,0,7.92,CN,1609200837
11,hay river,60.82,-115.8,6.8,84,22,3.36,CA,1609200837
12,tateyama,34.98,139.87,50.0,71,75,3.36,JP,1609200837
13,barrow,71.29,-156.79,1.4,70,90,9.17,US,1609200837
14,kodiak,57.79,-152.41,39.2,88,40,11.41,US,1609200837
15,yellowknife,62.46,-114.35,1.99,84,90,6.93,CA,1609200815
16,lazaro cardenas,17.96,-102.2,75.79,69,0,6.02,MX,1609200750
17,provideniya,64.38,-173.3,24.8,85,90,22.37,RU,1609200838
18,leua,48.22,18.61,48.0,91,100,8.01,SK,1609200838
19,butaritari,3.07,172.79,81.37,79,53,21.36,KI,1609200838
20,hambantota,6.12,81.12,76.05,87,48,4.81,LK,1609200838
21,ribeira grande,38.52,-28.7,58.1,75,100,19.6,PT,1609200838
22,leh,34.17,77.58,0.72,70,53,1.59,IN,1609200838
23,sao joao da barra,-21.64,-41.05,75.92,85,100,17.16,BR,1609200838
24,bluff,-46.6,168.33,72.0,58,74,5.01,NZ,1609200838
25,mount isa,-20.73,139.5,80.6,69,85,4.7,AU,1609200838
26,junction city,39.03,-96.83,35.6,55,75,8.05,US,1609200839
27,ushuaia,-54.8,-68.3,50.0,81,75,4.7,AR,1609200824
28,konongo,6.62,-1.22,71.51,75,0,1.34,GH,1609200839
29,rikitea,-23.12,-134.97,78.6,79,100,17.52,PF,1609200839
30,sobolevo,54.43,31.9,25.02,97,100,17.22,RU,1609200839
31,nacala,-14.54,40.67,77.65,87,100,8.1,MZ,1609200839
32,east london,-33.02,27.91,73.36,84,51,16.67,ZA,1609200839
33,belle fourche,44.67,-103.85,27.0,92,1,4.7,US,1609200839
34,longyearbyen,78.22,15.64,28.4,74,75,27.51,SJ,1609200839
35,punta arenas,-53.15,-70.92,51.8,66,20,12.75,CL,1609200825
36,havoysund,71.0,24.66,32.0,94,0,34.45,NO,1609200839
37,talnakh,69.49,88.4,-29.2,73,1,6.71,RU,1609200839
38,belmonte,-15.86,-38.88,77.0,78,20,14.99,BR,1609200840
39,khatanga,71.97,102.5,-31.31,83,82,15.73,RU,1609200840
40,kudahuvadhoo,2.67,72.89,82.26,73,95,10.07,MV,1609200840
41,kalabo,-14.97,22.68,68.45,86,85,4.07,ZM,1609200840
42,saint-philippe,-21.36,55.77,78.8,54,0,14.99,RE,1609200837
43,colares,38.8,-9.45,53.01,80,68,18.01,PT,1609200840
44,leningradskiy,69.38,178.42,-12.51,83,4,3.27,RU,1609200840
45,zhigansk,66.77,123.37,-4.92,89,100,21.54,RU,1609200840
46,ancud,-41.87,-73.82,64.99,82,20,11.41,CL,1609200840
47,hobart,-42.88,147.33,66.99,45,40,17.22,AU,1609200840
48,ayan,56.45,138.17,-19.89,73,100,10.83,RU,1609200840
49,xocali,39.91,46.79,38.55,71,47,1.16,AZ,1609200841
50,kampot,10.62,104.18,75.2,88,20,1.12,KH,1609200841
51,port lincoln,-34.73,135.87,64.92,58,7,1.63,AU,1609200841
52,mount gambier,-37.83,140.77,60.8,82,90,10.29,AU,1609200756
53,greymouth,-42.47,171.2,61.16,60,0,6.98,NZ,1609200841
54,lorengau,-2.02,147.27,86.13,57,100,4.81,PG,1609200841
55,thompson,55.74,-97.86,6.8,77,90,12.75,CA,1609200841
56,cidreira,-30.18,-50.21,73.38,82,74,15.37,BR,1609200842
57,mataura,-46.19,168.86,72.0,58,70,5.01,NZ,1609200842
58,andenes,69.31,16.12,39.2,60,100,12.75,NO,1609200842
59,ilulissat,69.22,-51.1,28.4,63,97,11.41,GL,1609200842
60,mar del plata,-38.0,-57.56,69.8,88,90,14.99,AR,1609200550
61,mattawa,46.74,-119.9,35.6,74,90,1.36,US,1609200842
62,opuwo,-18.06,13.84,63.82,86,100,4.12,NA,1609200842
63,narsaq,60.92,-46.05,30.2,68,86,12.75,GL,1609200842
64,atuona,-9.8,-139.03,78.89,72,21,14.9,PF,1609200842
65,jijiga,9.35,42.8,58.26,71,1,5.19,ET,1609200842
66,vaini,-21.2,-175.2,80.6,83,75,2.24,TO,1609200842
67,henties bay,-22.12,14.28,64.0,88,100,1.01,NA,1609200843
68,arraial do cabo,-22.97,-42.03,75.79,87,100,22.15,BR,1609200843
69,nong phai,15.99,101.06,77.0,69,0,3.18,TH,1609200843
70,poum,-20.23,164.02,82.27,76,6,17.16,NC,1609200843
71,praia da vitoria,38.73,-27.07,55.4,87,90,16.15,PT,1609200843
72,fortuna,40.6,-124.16,52.0,76,1,10.29,US,1609200843
73,andradas,-22.07,-46.57,66.52,85,93,4.23,BR,1609200843
74,cayenne,4.93,-52.33,78.8,88,20,12.75,GF,1609200843
75,quelimane,-17.88,36.89,78.46,89,100,1.74,MZ,1609200843
76,katsuura,35.13,140.3,50.0,61,75,2.24,JP,1609200746
77,kruisfontein,-34.0,24.73,64.0,91,0,1.01,ZA,1609200843
78,dharchula,29.85,80.53,38.61,39,0,7.16,IN,1609200844
79,quatre cocos,-20.21,57.76,77.0,78,75,8.05,MU,1609200844
80,kapaa,22.08,-159.32,80.6,69,1,10.29,US,1609200826
81,comodoro rivadavia,-45.87,-67.5,77.0,44,0,8.05,AR,1609200844
82,banda aceh,5.56,95.32,77.23,82,93,8.34,ID,1609200844
83,sitka,57.05,-135.33,44.6,56,90,12.75,US,1609200844
84,nome,64.5,-165.41,28.4,92,90,17.22,US,1609200844
85,tournon-sur-rhone,45.07,4.83,43.0,84,90,12.75,FR,1609200705
86,estelle,29.85,-90.11,64.4,72,20,6.93,US,1609200844
87,miajadas,39.15,-5.91,43.0,87,3,5.01,ES,1609200844
88,castro,-24.79,-50.01,64.62,91,44,2.64,BR,1609200844
89,burgersdorp,-31.0,26.33,74.46,37,59,5.14,ZA,1609200844
90,taman,45.21,36.72,41.0,79,93,11.18,RU,1609200844
91,tura,25.52,90.22,56.21,75,28,2.8,IN,1609200620
92,saveh,35.02,50.36,36.32,73,0,0.25,IR,1609200845
93,shuangyang,43.52,125.67,-4.0,70,75,8.95,CN,1609200845
94,port macquarie,-31.43,152.92,79.0,67,88,5.01,AU,1609200845
95,port elizabeth,-33.92,25.57,66.2,88,0,2.24,ZA,1609200821
96,flagstaff,35.2,-111.65,28.0,92,90,11.41,US,1609200816
97,klaksvik,62.23,-6.59,35.6,80,100,38.03,FO,1609200845
98,anadyr,64.75,177.48,14.0,92,75,24.61,RU,1609200823
99,tiarei,-17.53,-149.33,82.4,74,40,8.05,PF,1609200846
100,bredasdorp,-34.53,20.04,66.2,68,70,3.36,ZA,1609200846
101,puerto ayora,-0.74,-90.35,73.99,91,33,5.01,EC,1609200846
102,campo grande,-20.44,-54.65,80.6,65,20,4.7,BR,1609200846
103,drexel heights,32.14,-111.03,71.6,17,1,21.92,US,1609200846
104,buala,-8.14,159.59,84.49,72,100,3.67,SB,1609200846
105,barcelos,41.54,-8.62,51.8,71,40,9.17,PT,1609200846
106,upernavik,72.79,-56.15,27.07,95,100,24.2,GL,1609200847
107,chokurdakh,70.63,147.92,-36.92,83,14,4.38,RU,1609200847
108,geraldton,-28.77,114.6,93.2,14,12,24.16,AU,1609200847
109,aktas,49.78,72.96,10.4,66,0,6.71,KZ,1609200847
110,ixtapa,20.7,-105.2,73.4,78,5,9.17,MX,1609200847
111,zhuhai,22.28,113.57,69.01,82,40,5.82,CN,1609200847
112,chuy,-33.7,-53.46,65.84,93,11,5.26,UY,1609200847
113,avarua,-21.21,-159.78,84.2,70,62,12.75,CK,1609200847
114,dzhebariki-khaya,62.22,135.8,-48.05,74,69,2.21,RU,1609200847
115,new norfolk,-42.78,147.06,66.99,60,29,1.01,AU,1609200847
116,ashqelon,31.67,34.57,57.0,13,66,1.01,IL,1609200847
117,tasiilaq,65.61,-37.64,26.6,86,98,5.28,GL,1609200847
118,kaitangata,-46.28,169.85,61.0,70,12,11.99,NZ,1609200847
119,ponta do sol,32.67,-17.1,59.0,58,75,9.17,PT,1609200848
120,mapastepec,15.43,-92.9,75.15,67,1,2.21,MX,1609200848
121,padang,-0.95,100.35,75.74,87,100,4.76,ID,1609200848
122,svetlogorsk,52.63,29.73,32.7,96,100,18.48,BY,1609200848
